layer,design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows
0,dlzs_comp_k,float,5,0.9187000136004724,0.2,0.982716049382716,1200,111240,0
0,dlzs_comp_k,float,10,0.9322710646304051,0.5555555555555556,0.9728260869565218,1200,111240,0
0,dlzs_comp_k,float,15,0.9416030844156908,0.5384615384615384,0.9731663685152051,1200,111240,1
0,dlzs_comp_k,float,20,0.947786117161736,0.6666666666666666,0.9666666666666677,1200,111240,0
0,dlzs_comp_k,float,25,0.953388877971751,0.7142857142857143,0.9711879432624108,1200,111240,0
0,dlzs_comp_k,float,30,0.958392197164571,0.75,0.9733031674208145,1200,111240,0
0,dlzs_comp_k,float,35,0.963113593577494,0.7878787878787878,0.976865428478331,1200,111240,0
0,dlzs_comp_k,float,40,0.967243682526301,0.8055555555555556,0.9817499999999997,1200,111240,0
0,dlzs_comp_k,float,45,0.9708666114826385,0.8095238095238095,0.9836956521739133,1200,111240,0
0,dlzs_comp_k,float,50,0.9736525435538126,0.8222222222222222,0.9854397204426324,1200,111240,1
0,dlzs_comp_k,quantized_exact,5,0.9187116548558216,0.2,0.982716049382716,1200,111240,0
0,dlzs_comp_k,quantized_exact,10,0.9322752977253643,0.5555555555555556,0.9728260869565218,1200,111240,0
0,dlzs_comp_k,quantized_exact,15,0.9416067762953058,0.5384615384615384,0.9731663685152051,1200,111240,1
0,dlzs_comp_k,quantized_exact,20,0.9477848261138788,0.6666666666666666,0.9666666666666677,1200,111240,0
0,dlzs_comp_k,quantized_exact,25,0.9533918632421458,0.7142857142857143,0.9707446808510632,1200,111240,0
0,dlzs_comp_k,quantized_exact,30,0.9583917038495506,0.75,0.9733031674208145,1200,111240,0
0,dlzs_comp_k,quantized_exact,35,0.963113271890446,0.7878787878787878,0.976865428478331,1200,111240,0
0,dlzs_comp_k,quantized_exact,40,0.9672432480797665,0.8055555555555556,0.9817499999999997,1200,111240,0
0,dlzs_comp_k,quantized_exact,45,0.9708668376010996,0.8095238095238095,0.9836956521739133,1200,111240,0
0,dlzs_comp_k,quantized_exact,50,0.9736506168113213,0.8222222222222222,0.9854397204426324,1200,111240,1
0,dlzs_comp_q,float,5,0.9378092319025916,0.3333333333333333,0.9886363636363634,1200,111240,0
0,dlzs_comp_q,float,10,0.9436064187852407,0.5555555555555556,0.979166666666667,1200,111240,0
0,dlzs_comp_q,float,15,0.9490203243982792,0.6,0.9758497316636845,1200,111240,0
0,dlzs_comp_q,float,20,0.9529758560585285,0.65,0.9712858926342066,1200,111240,0
0,dlzs_comp_q,float,25,0.9574700127217735,0.7083333333333334,0.9735349716446132,1200,111240,0
0,dlzs_comp_q,float,30,0.9615889543014478,0.7407407407407407,0.9761555392516515,1200,111240,0
0,dlzs_comp_q,float,35,0.9654896253759108,0.7714285714285715,0.979249011857707,1200,111240,0
0,dlzs_comp_q,float,40,0.9691337519851311,0.775,0.983024691358025,1200,111240,0
0,dlzs_comp_q,float,45,0.9722811454358047,0.7857142857142857,0.9853219696969698,1200,111240,3
0,dlzs_comp_q,float,50,0.975176244176187,0.782608695652174,0.9878117913832197,1200,111240,0
0,dlzs_comp_q,quantized_exact,5,0.9378158172815801,0.3333333333333333,0.9886363636363634,1200,111240,0
0,dlzs_comp_q,quantized_exact,10,0.9436034745595006,0.5555555555555556,0.979166666666667,1200,111240,0
0,dlzs_comp_q,quantized_exact,15,0.9490231953243874,0.6,0.9758497316636845,1200,111240,0
0,dlzs_comp_q,quantized_exact,20,0.9529734282647079,0.65,0.9712858926342066,1200,111240,0
0,dlzs_comp_q,quantized_exact,25,0.9574672470122234,0.7083333333333334,0.9735349716446132,1200,111240,0
0,dlzs_comp_q,quantized_exact,30,0.961590524568,0.7407407407407407,0.9761555392516515,1200,111240,0
0,dlzs_comp_q,quantized_exact,35,0.9654914741854412,0.7714285714285715,0.979249011857707,1200,111240,0
0,dlzs_comp_q,quantized_exact,40,0.9691324754576249,0.775,0.983024691358025,1200,111240,0
0,dlzs_comp_q,quantized_exact,45,0.9722814540881038,0.7857142857142857,0.9853219696969698,1200,111240,3
0,dlzs_comp_q,quantized_exact,50,0.9751756607643715,0.782608695652174,0.9878117913832197,1200,111240,0
0,dlzs_snap_k,float,5,0.8555676123783489,0.16666666666666666,0.9399999999999995,1200,111240,0
0,dlzs_snap_k,float,10,0.8786945027916058,0.4,0.9432098765432091,1200,111240,0
0,dlzs_snap_k,float,15,0.8944725829942836,0.42857142857142855,0.9444444444444449,1200,111240,0
0,dlzs_snap_k,float,20,0.9051477100568978,0.5,0.9368421052631568,1200,111240,0
0,dlzs_snap_k,float,25,0.9152429256214657,0.5416666666666666,0.9371455576559551,1200,111240,1
0,dlzs_snap_k,float,30,0.9245684444840223,0.5862068965517241,0.9479166666666665,1200,111240,0
0,dlzs_snap_k,float,35,0.9326987470191261,0.6764705882352942,0.9566563467492246,1200,111240,0
0,dlzs_snap_k,float,40,0.9399498009608889,0.7105263157894737,0.9667040778151882,1200,111240,0
0,dlzs_snap_k,float,45,0.9465530454571272,0.7368421052631579,0.9675662878787884,1200,111240,0
0,dlzs_snap_k,float,50,0.9519321960243242,0.7647058823529411,0.9737346101231198,1200,111240,0
0,dlzs_snap_k,quantized_exact,5,0.8555694875044499,0.16666666666666666,0.9399999999999995,1200,111240,0
0,dlzs_snap_k,quantized_exact,10,0.8786983286210731,0.4,0.9432098765432091,1200,111240,0
0,dlzs_snap_k,quantized_exact,15,0.8944702173102071,0.42857142857142855,0.9444444444444449,1200,111240,0
0,dlzs_snap_k,quantized_exact,20,0.9051458918759596,0.5,0.9368421052631568,1200,111240,0
0,dlzs_snap_k,quantized_exact,25,0.9152411118410078,0.5416666666666666,0.9374999999999992,1200,111240,1
0,dlzs_snap_k,quantized_exact,30,0.9245668862431432,0.5862068965517241,0.9479166666666665,1200,111240,0
0,dlzs_snap_k,quantized_exact,35,0.9326997704576427,0.6764705882352942,0.9566563467492246,1200,111240,0
0,dlzs_snap_k,quantized_exact,40,0.9399522381758465,0.7105263157894737,0.9667040778151882,1200,111240,0
0,dlzs_snap_k,quantized_exact,45,0.9465547889080373,0.7368421052631579,0.9675662878787884,1200,111240,0
0,dlzs_snap_k,quantized_exact,50,0.9519315514892617,0.7647058823529411,0.9737346101231198,1200,111240,0
0,dlzs_snap_q,float,5,0.8870272952613634,0.2,0.9651162790697672,1200,111240,0
0,dlzs_snap_q,float,10,0.8978496552359332,0.3,0.9582417582417586,1200,111240,0
0,dlzs_snap_q,float,15,0.9077321587490272,0.4666666666666667,0.951388888888889,1200,111240,1
0,dlzs_snap_q,float,20,0.9153014885763493,0.47619047619047616,0.9405684754521956,1200,111240,0
0,dlzs_snap_q,float,25,0.9228128832057685,0.5217391304347826,0.9463768115942037,1200,111240,0
0,dlzs_snap_q,float,30,0.9300210047137139,0.5161290322580645,0.9553571428571428,1200,111240,0
0,dlzs_snap_q,float,35,0.9370390891252477,0.5454545454545454,0.9611111111111111,1200,111240,1
0,dlzs_snap_q,float,40,0.943378389810149,0.6341463414634146,0.9655172413793097,1200,111240,0
0,dlzs_snap_q,float,45,0.9495015773092287,0.6444444444444445,0.9732481060606065,1200,111240,0
0,dlzs_snap_q,float,50,0.9545962918811367,0.7,0.9748290013679891,1200,111240,0
0,dlzs_snap_q,quantized_exact,5,0.8870289551757257,0.2,0.9651162790697672,1200,111240,0
0,dlzs_snap_q,quantized_exact,10,0.8978526592705898,0.3,0.9582417582417586,1200,111240,0
0,dlzs_snap_q,quantized_exact,15,0.9077348248430795,0.4666666666666667,0.951388888888889,1200,111240,1
0,dlzs_snap_q,quantized_exact,20,0.9153027954378914,0.47619047619047616,0.9405684754521956,1200,111240,0
0,dlzs_snap_q,quantized_exact,25,0.9228143210750503,0.5217391304347826,0.9463768115942037,1200,111240,0
0,dlzs_snap_q,quantized_exact,30,0.9300192356485062,0.5161290322580645,0.9553571428571428,1200,111240,0
0,dlzs_snap_q,quantized_exact,35,0.93703757838312,0.5454545454545454,0.9611111111111111,1200,111240,1
0,dlzs_snap_q,quantized_exact,40,0.9433783568672838,0.6341463414634146,0.9651888341543507,1200,111240,0
0,dlzs_snap_q,quantized_exact,45,0.949505332417098,0.6444444444444445,0.9732481060606065,1200,111240,0
0,dlzs_snap_q,quantized_exact,50,0.9545959865573275,0.7,0.9748290013679891,1200,111240,0
0,drum3,float,5,0.8996142904651349,0.2,0.9679999999999996,1200,111240,0
0,drum3,float,10,0.9137676677230043,0.4444444444444444,0.963383838383838,1200,111240,1
0,drum3,float,15,0.9242284599325407,0.5333333333333333,0.9571929824561403,1200,111240,5
0,drum3,float,20,0.9316668590730162,0.5263157894736842,0.955500000000001,1200,111240,8
0,drum3,float,25,0.9383749066743432,0.5416666666666666,0.9577540106951866,1200,111240,6
0,drum3,float,30,0.9448929414762904,0.6666666666666666,0.9633886760323537,1200,111240,11
0,drum3,float,35,0.9505703634944833,0.7058823529411765,0.9702857142857134,1200,111240,12
