layer,design,score_mae_vs_quantized_exact,score_max_error_vs_quantized_exact,clipped_values
0,exact_int16,0.0,0.0,0
0,dlzs_comp_q,0.10154766561512818,1.5631458742777486,0
0,dlzs_comp_k,0.1014559310423164,1.5489008806362512,0
0,dlzs_snap_q,0.19620758374806185,2.950137650550414,0
0,dlzs_snap_k,0.19552869295371564,2.7469589341074343,0
0,mitchell,0.06034549088774094,0.8437880523213764,0
0,drum3,0.15965478521434084,2.9385503444251526,0
0,drum4,0.07454869050511531,1.3881768450705436,0
0,drum6,0.018272361195659673,0.31423978667215874,0
1,exact_int16,0.0,0.0,0
1,dlzs_comp_q,0.17610442052873412,3.7879258160318354,0
1,dlzs_comp_k,0.1748440427010277,3.700414448766054,0
1,dlzs_snap_q,0.3434823694870546,7.04023113463758,0
1,dlzs_snap_k,0.33910716481303965,7.455510576500434,0
1,mitchell,0.12557444415904268,2.622962142831339,0
1,drum3,0.2866514793926436,6.976316140477658,0
1,drum4,0.12988379911933629,2.949326160434368,0
1,drum6,0.03136482793576184,0.6798965599467967,0
2,exact_int16,0.0,0.0,0
2,dlzs_comp_q,0.1538058498552603,1.7979358882826322,0
2,dlzs_comp_k,0.15361000121980542,1.9532252420311471,0
2,dlzs_snap_q,0.3013001581436512,3.22704441870154,0
2,dlzs_snap_k,0.2954103281936813,3.586783364638799,0
2,mitchell,0.09617433544363416,1.0386101744031564,0
2,drum3,0.2409116307655664,3.2807674361119954,0
2,drum4,0.1124398630269723,1.4197461579581743,0
2,drum6,0.0274614831333558,0.3247043596862398,0
3,exact_int16,0.0,0.0,0
3,dlzs_comp_q,0.17499095121498412,1.4863172443113883,0
3,dlzs_comp_k,0.1743561365256633,1.437896230078454,0
3,dlzs_snap_q,0.3513547253162236,2.8623814873168634,0
3,dlzs_snap_k,0.33292880591753893,3.2360679748890075,0
3,mitchell,0.09884470208990004,0.8175559957578434,0
3,drum3,0.26948693345406727,2.8587335068485222,0
3,drum4,0.1276575541140965,1.1899240979455736,0
3,drum6,0.031310954928482834,0.30242942933469036,0
4,exact_int16,0.0,0.0,0
4,dlzs_comp_q,0.12447359455213781,1.3140097173933425,0
4,dlzs_comp_k,0.12433138893948807,1.0749597869599683,0
4,dlzs_snap_q,0.24424722448747346,2.618578674574958,0
4,dlzs_snap_k,0.2372671327443795,2.189369571608813,0
4,mitchell,0.07665165795586121,0.6685060877065527,0
4,drum3,0.1962209343513973,2.076109966918401,0
4,drum4,0.09154661642845048,0.9677271026221408,0
4,drum6,0.02236270853932248,0.27531450369513294,0
5,exact_int16,0.0,0.0,0
5,dlzs_comp_q,0.14333065680598378,1.3079565707230298,0
5,dlzs_comp_k,0.1434521727853551,1.3186716425589098,0
5,dlzs_snap_q,0.28282482124236374,2.349771141102121,0
5,dlzs_snap_k,0.2885046181372626,3.0984294903128675,0
5,mitchell,0.11911277514453207,0.7617485494543729,0
5,drum3,0.2346359899273073,2.20133510979623,0
5,drum4,0.10519688523793132,0.9915735634913485,0
5,drum6,0.02541440557901918,0.23949829900754935,0
