design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows,min_text_overlap,max_text_overlap,texts
dlzs_comp_k,float,5,0.9281115690421453,0.16666666666666666,0.9327503429355277,100,667440,0,0.9230034722222216,0.9327503429355277,100
dlzs_comp_k,float,10,0.9408645377083977,0.4444444444444444,0.9445639187574675,100,667440,0,0.9370515046296298,0.9445639187574675,100
dlzs_comp_k,float,15,0.9444774775307381,0.5384615384615384,0.9483479986197385,100,667440,1,0.9416203703703699,0.9483479986197385,100
dlzs_comp_k,float,20,0.9480260686511583,0.5789473684210527,0.951627256547164,100,667440,0,0.94637804187889,0.951627256547164,100
dlzs_comp_k,float,25,0.9517016839471304,0.6666666666666666,0.9534383218277449,100,667440,1,0.9499060371153387,0.9534383218277449,100
dlzs_comp_k,float,30,0.9556141798339608,0.7037037037037037,0.9578588681849547,100,667440,1,0.9539231763068968,0.9578588681849547,100
dlzs_comp_k,float,35,0.959448292169159,0.6875,0.9613146800646801,100,667440,0,0.9575740584992057,0.9613146800646801,100
dlzs_comp_k,float,40,0.9629962765134998,0.75,0.9645687067562067,100,667440,0,0.9607354028085727,0.9645687067562067,100
dlzs_comp_k,float,45,0.9662985820810743,0.775,0.9677235316124188,100,667440,0,0.9648015636387721,0.9677235316124188,100
dlzs_comp_k,float,50,0.9691621988274758,0.782608695652174,0.9708557800224464,100,667440,1,0.9678241992668712,0.9708557800224464,100
dlzs_comp_k,quantized_exact,5,0.9281141071139649,0.16666666666666666,0.9327503429355277,100,667440,0,0.9230613425925919,0.9327503429355277,100
dlzs_comp_k,quantized_exact,10,0.9408639296600464,0.4444444444444444,0.9445639187574675,100,667440,0,0.9370515046296298,0.9445639187574675,100
dlzs_comp_k,quantized_exact,15,0.9444783700920942,0.5384615384615384,0.9483587819185652,100,667440,1,0.9416203703703699,0.9483587819185652,100
dlzs_comp_k,quantized_exact,20,0.9480259973079032,0.5789473684210527,0.951619310958555,100,667440,0,0.94637804187889,0.951619310958555,100
dlzs_comp_k,quantized_exact,25,0.9517020157601437,0.6666666666666666,0.9534383218277449,100,667440,1,0.9498840145642463,0.9534383218277449,100
dlzs_comp_k,quantized_exact,30,0.9556136346510945,0.7037037037037037,0.957848084886128,100,667440,1,0.9539169648181272,0.957848084886128,100
dlzs_comp_k,quantized_exact,35,0.9594481666399798,0.6875,0.9613110706860708,100,667440,0,0.9575682179235585,0.9613110706860708,100
dlzs_comp_k,quantized_exact,40,0.9629968158017208,0.75,0.964575066137566,100,667440,0,0.9607405354356566,0.964575066137566,100
dlzs_comp_k,quantized_exact,45,0.9662987493606576,0.775,0.9677235316124188,100,667440,0,0.9648015636387721,0.9677235316124188,100
dlzs_comp_k,quantized_exact,50,0.9691616755732946,0.782608695652174,0.970852974186307,100,667440,1,0.9678241992668712,0.970852974186307,100
dlzs_comp_q,float,5,0.9502605059900333,0.0,0.9538065843621397,100,667440,1,0.9473888888888884,0.9538065843621397,100
dlzs_comp_q,float,10,0.9556318131385935,0.4,0.9576314217443253,100,667440,0,0.9535353535353539,0.9576314217443253,100
dlzs_comp_q,float,15,0.9576835392774103,0.5333333333333333,0.9596198830409354,100,667440,1,0.9557407407407408,0.9596198830409354,100
dlzs_comp_q,float,20,0.9599514426181628,0.6470588235294118,0.9611304012345671,100,667440,1,0.9586793540945782,0.9611304012345671,100
dlzs_comp_q,float,25,0.9625206077472022,0.6956521739130435,0.9635478892871363,100,667440,3,0.9611304012345675,0.9635478892871363,100
dlzs_comp_q,float,30,0.9653736953399507,0.7037037037037037,0.9665987318840575,100,667440,0,0.96397636115378,0.9665987318840575,100
dlzs_comp_q,float,35,0.9682686283659585,0.7419354838709677,0.9695605435156508,100,667440,0,0.9668681917211333,0.9695605435156508,100
dlzs_comp_q,float,40,0.9710129429382274,0.775,0.9724865626927477,100,667440,1,0.9695645905420981,0.9724865626927477,100
dlzs_comp_q,float,45,0.9736225112189278,0.7857142857142857,0.9748752961715907,100,667440,6,0.9724416948254151,0.9748752961715907,100
dlzs_comp_q,float,50,0.9759641598067011,0.782608695652174,0.9769641609264244,100,667440,0,0.9750075999392008,0.9769641609264244,100
dlzs_comp_q,quantized_exact,5,0.9502620687677249,0.0,0.9538065843621397,100,667440,1,0.9473888888888884,0.9538065843621397,100
dlzs_comp_q,quantized_exact,10,0.9556307846456982,0.4,0.9576314217443253,100,667440,0,0.9535493827160499,0.9576314217443253,100
dlzs_comp_q,quantized_exact,15,0.9576856124869632,0.5333333333333333,0.9596393762183233,100,667440,1,0.9557314814814816,0.9596393762183233,100
dlzs_comp_q,quantized_exact,20,0.9599509437126352,0.6470588235294118,0.9611128647586972,100,667440,1,0.9586697424067656,0.9611128647586972,100
dlzs_comp_q,quantized_exact,25,0.9625192962095559,0.6956521739130435,0.9635603345280762,100,667440,3,0.9611243730709873,0.9635603345280762,100
dlzs_comp_q,quantized_exact,30,0.9653731009915915,0.7037037037037037,0.9665933402346442,100,667440,0,0.9639763611537799,0.9665933402346442,100
dlzs_comp_q,quantized_exact,35,0.9682689255601786,0.7419354838709677,0.9695605435156508,100,667440,0,0.9668845315904142,0.9695605435156508,100
dlzs_comp_q,quantized_exact,40,0.9710132255072703,0.775,0.9724792199018998,100,667440,1,0.9695645905420981,0.9724792199018998,100
dlzs_comp_q,quantized_exact,45,0.9736227502904657,0.7857142857142857,0.9748815313630114,100,667440,6,0.9724458358179281,0.9748815313630114,100
dlzs_comp_q,quantized_exact,50,0.9759649394971694,0.782608695652174,0.9769666566836371,100,667440,0,0.9750151998784011,0.9769666566836371,100
dlzs_snap_k,float,5,0.871937192849928,0.16666666666666666,0.8770168683535018,100,667440,0,0.8648888888888879,0.8770168683535018,100
dlzs_snap_k,float,10,0.8941048942557518,0.3,0.8997584541062802,100,667440,0,0.8891663198779294,0.8997584541062802,100
dlzs_snap_k,float,15,0.9008902645914421,0.42857142857142855,0.9053873360938582,100,667440,1,0.8964864417989418,0.9053873360938582,100
dlzs_snap_k,float,20,0.9069847598827727,0.47368421052631576,0.911120645817441,100,667440,0,0.9033153003190445,0.911120645817441,100
dlzs_snap_k,float,25,0.9135250949473527,0.5217391304347826,0.9164566267590845,100,667440,3,0.9109426177878548,0.9164566267590845,100
dlzs_snap_k,float,30,0.9202055001193175,0.5769230769230769,0.9229470632248413,100,667440,2,0.9167302446016544,0.9229470632248413,100
dlzs_snap_k,float,35,0.9267908826261139,0.5757575757575758,0.9291370697620702,100,667440,0,0.9240795206971675,0.9291370697620702,100
dlzs_snap_k,float,40,0.9328864792109273,0.6190476190476191,0.9351180555555556,100,667440,2,0.9296136101499413,0.9351180555555556,100
dlzs_snap_k,float,45,0.938855763554205,0.6923076923076923,0.9412257495590828,100,667440,2,0.9364617113273022,0.9412257495590828,100
dlzs_snap_k,float,50,0.9440338528262984,0.6976744186046512,0.9463194444444439,100,667440,1,0.9414284026465035,0.9463194444444439,100
