design,percent,passage_mean,passage_std,passage_min,passage_max,mean_layer_score_mae,max_layer_score_mae
dlzs_comp_k,10,0.9408639296600462,0.0013287179043336573,0.9370515046296298,0.9445639187574675,0.145341612202276,0.1748440427010277
dlzs_comp_q,10,0.9556307846456982,0.0008281918332538878,0.9535493827160499,0.9576314217443253,0.1457088564287047,0.17610442052873412
dlzs_snap_k,10,0.8941049786456795,0.00195449129829657,0.8891836593147446,0.8997584541062802,0.28145779045993624,0.33910716481303965
dlzs_snap_q,10,0.9190283782504167,0.0014029693728972179,0.9143819143819134,0.9217293906810037,0.28656948040413804,0.3513547253162236
drum3,10,0.9270526309568932,0.0013717157661081196,0.9244357638888892,0.930004409171075,0.23126029218422045,0.2866514793926436
drum4,10,0.9608646364211682,0.000891702258412368,0.9586226851851853,0.962888291517324,0.10687890140531703,0.12988379911933629
drum6,10,0.9893602610361247,0.0004563764323480071,0.9883999167707032,0.990445970314884,0.026031123551933634,0.03136482793576184
exact_int16,10,1.0,0.0,1.0,1.0,0.0,0.0
mitchell,10,0.9824960366255214,0.00055003278959326,0.9809606481481483,0.983866442199775,0.09611723428011851,0.12557444415904268
