design            drum_opt5
activity_toggle   50.0
activity_sp       0.5
period_ns         10.000
unit              mW
total             108.035
dynamic           5.394
static            102.641
clocks            0.921
slice_logic       2.053
signals           2.420
dsps              n/a
dynamic_mw        5.394
energy_pj_per_op  53.940
confidence        Medium
