design,baseline,percent,mean_overlap,min_overlap,rows,boundary_tie_rows
drum3,quantized_exact,45,0.9620225694444443,0.6666666666666666,384,0
drum3,quantized_exact,50,0.9594017094017095,0.6666666666666666,384,0
drum3,float,5,0.93359375,0.0,384,0
drum3,float,10,0.9427083333333334,0.0,384,0
drum3,float,15,0.9173177083333334,0.0,384,0
drum3,float,20,0.9279513888888888,0.5,384,0
drum3,float,25,0.9324776785714285,0.5,384,0
drum3,float,30,0.9388020833333334,0.5,384,0
drum3,float,35,0.946701388888889,0.6666666666666666,384,0
drum3,float,40,0.9573074494949494,0.6666666666666666,384,0
drum3,float,45,0.9620225694444443,0.6666666666666666,384,0
drum3,float,50,0.9594017094017095,0.6666666666666666,384,0
drum4,quantized_exact,5,0.9674479166666666,0.0,384,0
drum4,quantized_exact,10,0.9652777777777777,0.0,384,0
drum4,quantized_exact,15,0.9544270833333334,0.0,384,0
drum4,quantized_exact,20,0.959201388888889,0.5,384,0
drum4,quantized_exact,25,0.9622395833333334,0.5,384,0
drum4,quantized_exact,30,0.962890625,0.5,384,0
drum4,quantized_exact,35,0.96875,0.6666666666666666,384,0
drum4,quantized_exact,40,0.9746685606060606,0.6666666666666666,384,0
drum4,quantized_exact,45,0.9772135416666666,0.6666666666666666,384,0
drum4,quantized_exact,50,0.9769631410256411,0.6666666666666666,384,0
drum4,float,5,0.9674479166666666,0.0,384,0
drum4,float,10,0.9652777777777777,0.0,384,0
drum4,float,15,0.9544270833333334,0.0,384,0
drum4,float,20,0.959201388888889,0.5,384,0
drum4,float,25,0.9622395833333334,0.5,384,0
drum4,float,30,0.962890625,0.5,384,0
drum4,float,35,0.96875,0.6666666666666666,384,0
drum4,float,40,0.9746685606060606,0.6666666666666666,384,0
drum4,float,45,0.9772135416666666,0.6666666666666666,384,0
drum4,float,50,0.9769631410256411,0.6666666666666666,384,0
drum6,quantized_exact,5,0.9908854166666666,0.0,384,0
drum6,quantized_exact,10,0.9887152777777777,0.0,384,0
drum6,quantized_exact,15,0.9908854166666666,0.0,384,0
drum6,quantized_exact,20,0.986545138888889,0.5,384,0
drum6,quantized_exact,25,0.9918154761904763,0.5,384,0
drum6,quantized_exact,30,0.990234375,0.5,384,0
drum6,quantized_exact,35,0.9936631944444444,0.6666666666666666,384,0
drum6,quantized_exact,40,0.9932133838383838,0.6666666666666666,384,0
drum6,quantized_exact,45,0.994357638888889,0.6666666666666666,384,0
drum6,quantized_exact,50,0.9935229700854701,0.6666666666666666,384,0
drum6,float,5,0.9908854166666666,0.0,384,0
drum6,float,10,0.9887152777777777,0.0,384,0
drum6,float,15,0.9908854166666666,0.0,384,0
drum6,float,20,0.986545138888889,0.5,384,0
drum6,float,25,0.9918154761904763,0.5,384,0
drum6,float,30,0.990234375,0.5,384,0
drum6,float,35,0.993923611111111,0.6666666666666666,384,0
drum6,float,40,0.9932133838383838,0.6666666666666666,384,0
drum6,float,45,0.994357638888889,0.6666666666666666,384,0
drum6,float,50,0.9935229700854701,0.6666666666666666,384,0
