design,baseline,percent,mean_overlap,min_text_overlap,max_text_overlap,texts
dlzs_snap_q,quantized_exact,50,0.954365886684274,0.95362085058031,0.9551914928627256,4
drum3,float,5,0.9150806638285234,0.9134589947089948,0.9171176046176046,4
drum3,float,10,0.9272089340790588,0.9256052927927928,0.9294900058788949,4
drum3,float,15,0.9319794645137112,0.930750962000962,0.9329424380794245,4
drum3,float,20,0.9361317724633599,0.935335497835498,0.9372272957889396,4
drum3,float,25,0.9402985734023088,0.9390805278963172,0.9415905631659055,4
drum3,float,30,0.944725884799031,0.9435223266745005,0.9454389788293898,4
drum3,float,35,0.9479715928060677,0.9460253522753523,0.9496619248331578,4
drum3,float,40,0.9526842882926646,0.9518330830830833,0.9534880771182142,4
drum3,float,45,0.9565784775775941,0.9559927574633456,0.9569496333194962,4
drum3,float,50,0.9598813027323715,0.9590333576820065,0.9611049405569952,4
drum3,quantized_exact,5,0.91508050313701,0.9134589947089948,0.9171176046176046,4
drum3,quantized_exact,10,0.9272148796650557,0.9256052927927928,0.9294900058788949,4
drum3,quantized_exact,15,0.9319904645247112,0.930750962000962,0.9329424380794245,4
drum3,quantized_exact,20,0.9361439838439864,0.9353242243867245,0.9372526636225267,4
drum3,quantized_exact,25,0.9403011106367314,0.9390706495969652,0.9416105904029478,4
drum3,quantized_exact,30,0.9447315155837714,0.9435223266745005,0.9454476269544764,4
drum3,quantized_exact,35,0.9479733974953725,0.9460325710325712,0.9496619248331578,4
drum3,quantized_exact,40,0.95268172591345,0.9518330830830833,0.9534817351598175,4
drum3,quantized_exact,45,0.9565759793674228,0.9559761967850204,0.9569553987362206,4
drum3,quantized_exact,50,0.9598863583600828,0.9590333576820065,0.9611152248138549,4
drum4,float,5,0.9546307020194007,0.9539226726726727,0.9565734398782344,4
drum4,float,10,0.9613636255272004,0.9601163663663664,0.9625587889476779,4
drum4,float,15,0.9626411056205577,0.9617742742742743,0.9634335571835572,4
drum4,float,20,0.9652533012276289,0.9649081854964208,0.9655758498224252,4
drum4,float,25,0.9676588576261238,0.9671176046176048,0.9687374829768485,4
drum4,float,30,0.9698855478849151,0.9697102665852668,0.9700947834509479,4
drum4,float,35,0.9719652697202165,0.9710672210672213,0.9731076571829997,4
drum4,float,40,0.9743118824666045,0.973998998998999,0.9745273109243696,4
drum4,float,45,0.9765456688142176,0.9761600018449335,0.9768997145641881,4
drum4,float,50,0.9783349811242645,0.9778883613343071,0.9788452836398042,4
drum4,quantized_exact,5,0.9546305413278872,0.9539592352092353,0.9565258751902588,4
drum4,quantized_exact,10,0.9613695711131974,0.9601163663663664,0.9625587889476779,4
drum4,quantized_exact,15,0.9626525195339409,0.9617899149149152,0.9634462759462762,4
drum4,quantized_exact,20,0.9652641964764245,0.9649276377217553,0.9656012176560123,4
drum4,quantized_exact,25,0.9676507710274704,0.9670815295815297,0.9687274693583272,4
drum4,quantized_exact,30,0.9698867326594024,0.9697166259666261,0.9700774872007748,4
drum4,quantized_exact,35,0.9719722209246088,0.9710888773388776,0.9731149748273036,4
drum4,quantized_exact,40,0.9743149225947553,0.973998998998999,0.9745273109243698,4
drum4,quantized_exact,45,0.9765363750680541,0.9761600018449335,0.9768997145641881,4
drum4,quantized_exact,50,0.9783345077209453,0.9778883613343071,0.9788401415113744,4
drum6,float,5,0.9880699502595907,0.9875090187590188,0.9885979729729729,4
drum6,float,10,0.9891700847305157,0.9886214339339339,0.9896384479717812,4
drum6,float,15,0.9897132005971903,0.9894179894179894,0.9900369119119118,4
drum6,float,20,0.9906203215281706,0.9904288419913421,0.9907601929660754,4
drum6,float,25,0.9910694397541331,0.9909909909909911,0.9911895313681028,4
drum6,float,30,0.9914674410723957,0.991248097412481,0.9915948557252905,4
drum6,float,35,0.9919545350493314,0.9917056479556479,0.9921847558833861,4
drum6,float,40,0.9928344450127701,0.9926744402550854,0.993042871638762,4
drum6,float,45,0.9932785379849259,0.9931560502989076,0.9933812488959547,4
drum6,float,50,0.99380224544853,0.9935240299823634,0.993968283351845,4
drum6,quantized_exact,5,0.9880697895680771,0.9875090187590188,0.9886448948948947,4
drum6,quantized_exact,10,0.9891700847305157,0.9886214339339339,0.9896384479717812,4
drum6,quantized_exact,15,0.9897246145105734,0.9894179894179894,0.9900525525525524,4
drum6,quantized_exact,20,0.9906406440124209,0.9904401154401155,0.9907796451914099,4
drum6,quantized_exact,25,0.9910714043689355,0.9909811126916392,0.9912052784076594,4
drum6,quantized_exact,30,0.9914590368427288,0.9912308011623081,0.9915785350567958,4
drum6,quantized_exact,35,0.9919635832176262,0.991734522984523,0.9921920735276899,4
drum6,quantized_exact,40,0.99283424758728,0.9926860773634968,0.9930492135971589,4
drum6,quantized_exact,45,0.9932836272040478,0.9931612038754898,0.9933646882176294,4
drum6,quantized_exact,50,0.993804127327756,0.9935279667422523,0.9939579990949853,4
exact_int16,float,5,0.9999763783475255,0.9999524353120243,1.0,4
exact_int16,float,10,0.999988108828006,0.9999524353120243,1.0,4
exact_int16,float,15,0.9999579260602377,0.9999217967967967,0.9999745624745624,4
exact_int16,float,20,0.9999615282788505,0.9999374374374373,0.9999805477746655,4
exact_int16,float,25,0.9999659679228358,0.9999549062049063,0.9999799727629575,4
exact_int16,float,30,0.9999701789504126,0.9999481112494811,0.9999924843674842,4
exact_int16,float,35,0.9999837702273013,0.999971124971125,0.9999933194377638,4
exact_int16,float,40,0.9999751989618139,0.9999562062062061,0.9999873160832065,4
exact_int16,float,45,0.9999720197780771,0.9999639249639247,0.9999834393216744,4
exact_int16,float,50,0.9999752581747263,0.9999645691609977,0.9999847820793768,4
exact_int16,quantized_exact,5,1.0,1.0,1.0,4
exact_int16,quantized_exact,10,1.0,1.0,1.0,4
exact_int16,quantized_exact,15,1.0,1.0,1.0,4
exact_int16,quantized_exact,20,1.0,1.0,1.0,4
exact_int16,quantized_exact,25,1.0,1.0,1.0,4
exact_int16,quantized_exact,30,1.0,1.0,1.0,4
exact_int16,quantized_exact,35,1.0,1.0,1.0,4
exact_int16,quantized_exact,40,1.0,1.0,1.0,4
exact_int16,quantized_exact,45,1.0,1.0,1.0,4
exact_int16,quantized_exact,50,1.0,1.0,1.0,4
mitchell,float,5,0.9800664286751615,0.9793921356421357,0.9810435435435435,4
mitchell,float,10,0.982634547860599,0.9816300675675677,0.9835942092886536,4
mitchell,float,15,0.9830487451955774,0.9821729196729199,0.9835292022792024,4
mitchell,float,20,0.9842361077655196,0.9834709709709711,0.9846813725490198,4
mitchell,float,25,0.9853299802298477,0.9849300831443689,0.985627074442864,4
mitchell,float,30,0.9863405706145991,0.9858603154836033,0.9866198616198617,4
mitchell,float,35,0.9873250070928915,0.9870196675752231,0.9875771604938274,4
