design            drum6_signed
activity_toggle   50.0
activity_sp       0.5
period_ns         10.000
unit              mW
total             111.369
dynamic           8.680
static            102.689
clocks            0.921
slice_logic       3.383
signals           4.376
dsps              n/a
dynamic_mw        8.680
energy_pj_per_op  86.800
confidence        Medium
