sample,design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows
0,dlzs_snap_k,float,5,0.8753086419753081,0.2,0.9802469135802468,72,5832,0
0,dlzs_snap_k,float,10,0.8951950922115525,0.4444444444444444,0.9670781893004109,72,5832,0
0,dlzs_snap_k,float,15,0.9031602827899116,0.46153846153846156,0.9458689458689447,72,5832,0
0,dlzs_snap_k,float,20,0.9089808763011368,0.5882352941176471,0.942628903413216,72,5832,0
0,dlzs_snap_k,float,25,0.9142824482330647,0.6666666666666666,0.9370958259847137,72,5832,0
0,dlzs_snap_k,float,30,0.921268861454047,0.68,0.9476543209876546,72,5832,0
0,dlzs_snap_k,float,35,0.9268483042429401,0.6896551724137931,0.9531715623669648,72,5832,0
0,dlzs_snap_k,float,40,0.9328262044311416,0.7575757575757576,0.9580995136550684,72,5832,0
0,dlzs_snap_k,float,45,0.937812812812813,0.7297297297297297,0.9629629629629629,72,5832,0
0,dlzs_snap_k,float,50,0.9433863628759749,0.7804878048780488,0.9674796747967481,72,5832,0
0,dlzs_snap_k,quantized_exact,5,0.875274348422496,0.2,0.9802469135802468,72,5832,0
0,dlzs_snap_k,quantized_exact,10,0.895176040237768,0.4444444444444444,0.9670781893004109,72,5832,0
0,dlzs_snap_k,quantized_exact,15,0.9031602827899116,0.46153846153846156,0.9458689458689447,72,5832,0
0,dlzs_snap_k,quantized_exact,20,0.9090010489792617,0.5882352941176471,0.942628903413216,72,5832,0
0,dlzs_snap_k,quantized_exact,25,0.9142824482330647,0.6666666666666666,0.9370958259847137,72,5832,0
0,dlzs_snap_k,quantized_exact,30,0.9212757201646097,0.68,0.9476543209876546,72,5832,0
0,dlzs_snap_k,quantized_exact,35,0.9268542169244591,0.6896551724137931,0.9531715623669648,72,5832,0
0,dlzs_snap_k,quantized_exact,40,0.9328210084382914,0.7575757575757576,0.9580995136550684,72,5832,0
0,dlzs_snap_k,quantized_exact,45,0.9378081785489196,0.7297297297297297,0.9629629629629629,72,5832,0
0,dlzs_snap_k,quantized_exact,50,0.9433905450165617,0.7804878048780488,0.9674796747967481,72,5832,0
0,dlzs_snap_q,float,5,0.9101165980795606,0.2,0.9827160493827158,72,5832,0
0,dlzs_snap_q,float,10,0.919467306812985,0.4444444444444444,0.979423868312757,72,5832,0
0,dlzs_snap_q,float,15,0.9241716788013075,0.6153846153846154,0.9572649572649565,72,5832,0
0,dlzs_snap_q,float,20,0.9286290647946411,0.6470588235294118,0.9578794480755254,72,5832,0
0,dlzs_snap_q,float,25,0.9325886733294131,0.5238095238095238,0.9564961787184003,72,5832,0
0,dlzs_snap_q,float,30,0.9375102880658438,0.56,0.9614814814814813,72,5832,0
0,dlzs_snap_q,float,35,0.9423336171420461,0.5862068965517241,0.960834397616007,72,5832,0
0,dlzs_snap_q,float,40,0.9469073450554922,0.6666666666666666,0.9655817433595203,72,5832,0
0,dlzs_snap_q,float,45,0.9513634004374746,0.7567567567567568,0.9669669669669673,72,5832,0
0,dlzs_snap_q,float,50,0.9557236776071467,0.7317073170731707,0.9707919301415232,72,5832,0
