design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows,min_text_overlap,max_text_overlap,texts
dlzs_snap_k,quantized_exact,50,0.944034161548356,0.6976744186046512,0.9463277777777773,100,667440,1,0.6976744186046512,0.9463277777777773,100
dlzs_snap_q,float,5,0.9086305448032697,0.0,0.9133394383394378,100,667440,0,0.0,0.9133394383394378,100
dlzs_snap_q,float,10,0.919030033785176,0.3,0.9217144563918759,100,667440,1,0.3,0.9217144563918759,100
dlzs_snap_q,float,15,0.923208087452632,0.4666666666666667,0.9260735876589526,100,667440,3,0.4666666666666667,0.9260735876589526,100
dlzs_snap_q,float,20,0.9273006082346889,0.47619047619047616,0.9293001525553003,100,667440,2,0.47619047619047616,0.9293001525553003,100
dlzs_snap_q,float,25,0.9318078023391516,0.5217391304347826,0.9334650630011454,100,667440,2,0.5217391304347826,0.9334650630011454,100
dlzs_snap_q,float,30,0.9368135434731706,0.5161290322580645,0.9392255892255896,100,667440,1,0.5161290322580645,0.9392255892255896,100
dlzs_snap_q,float,35,0.9420303968068793,0.5454545454545454,0.9435171687722695,100,667440,5,0.5454545454545454,0.9435171687722695,100
dlzs_snap_q,float,40,0.9468847142226524,0.6341463414634146,0.9484673120089787,100,667440,2,0.6341463414634146,0.9484673120089787,100
dlzs_snap_q,float,45,0.95169954270601,0.6444444444444445,0.9533041225749561,100,667440,3,0.6444444444444445,0.9533041225749561,100
dlzs_snap_q,float,50,0.9559369945948624,0.7,0.9578067285614451,100,667440,3,0.7,0.9578067285614451,100
dlzs_snap_q,quantized_exact,5,0.908629890110634,0.0,0.9133394383394378,100,667440,0,0.0,0.9133394383394378,100
dlzs_snap_q,quantized_exact,10,0.9190283782504164,0.3,0.9217293906810037,100,667440,1,0.3,0.9217293906810037,100
dlzs_snap_q,quantized_exact,15,0.9232082919993511,0.4666666666666667,0.9260475297060652,100,667440,3,0.4666666666666667,0.9260475297060652,100
dlzs_snap_q,quantized_exact,20,0.9273015914171657,0.47619047619047616,0.9292922069666909,100,667440,2,0.47619047619047616,0.9292922069666909,100
dlzs_snap_q,quantized_exact,25,0.9318067478262619,0.5217391304347826,0.9334650630011454,100,667440,2,0.5217391304347826,0.9334650630011454,100
dlzs_snap_q,quantized_exact,30,0.9368132301975711,0.5161290322580645,0.9392209128320244,100,667440,1,0.5161290322580645,0.9392209128320244,100
dlzs_snap_q,quantized_exact,35,0.9420291543045621,0.5454545454545454,0.943529316488499,100,667440,5,0.5454545454545454,0.943529316488499,100
dlzs_snap_q,quantized_exact,40,0.9468850903309913,0.6341463414634146,0.9484567901234568,100,667440,2,0.6341463414634146,0.9484567901234568,100
dlzs_snap_q,quantized_exact,45,0.9517001923328126,0.6444444444444445,0.9533013668430337,100,667440,3,0.6444444444444445,0.9533013668430337,100
dlzs_snap_q,quantized_exact,50,0.9559380487791835,0.7,0.9578067285614451,100,667440,3,0.7,0.9578067285614451,100
drum3,float,5,0.9125002680894858,0.2,0.9175605060506046,100,667440,9,0.2,0.9175605060506046,100
drum3,float,10,0.9270500498427827,0.4444444444444444,0.930004409171075,100,667440,14,0.4444444444444444,0.930004409171075,100
drum3,float,15,0.9314360827717246,0.46153846153846156,0.9341032608695657,100,667440,23,0.46153846153846156,0.9341032608695657,100
drum3,float,20,0.9356084338542224,0.5,0.9381751543209865,100,667440,35,0.5,0.9381751543209865,100
drum3,float,25,0.9401101719080301,0.5416666666666666,0.9419977553310884,100,667440,41,0.5416666666666666,0.9419977553310884,100
drum3,float,30,0.9448176256913832,0.6428571428571429,0.9472830153385713,100,667440,41,0.6428571428571429,0.9472830153385713,100
drum3,float,35,0.9494929353910095,0.6666666666666666,0.950922350922351,100,667440,47,0.6666666666666666,0.950922350922351,100
drum3,float,40,0.9538527970778273,0.7073170731707317,0.9555659722222222,100,667440,37,0.7073170731707317,0.9555659722222222,100
drum3,float,45,0.9579876981186644,0.6923076923076923,0.9600501543209875,100,667440,40,0.6923076923076923,0.9600501543209875,100
drum3,float,50,0.9616535398506494,0.6976744186046512,0.9636492961964657,100,667440,53,0.6976744186046512,0.9636492961964657,100
drum3,quantized_exact,5,0.9125025511117103,0.2,0.9175792378917377,100,667440,9,0.2,0.9175792378917377,100
drum3,quantized_exact,10,0.927052630956893,0.4444444444444444,0.930004409171075,100,667440,14,0.4444444444444444,0.930004409171075,100
drum3,quantized_exact,15,0.9314347674808394,0.46153846153846156,0.934092477570739,100,667440,23,0.46153846153846156,0.934092477570739,100
drum3,quantized_exact,20,0.9356095096093334,0.5,0.9381839225589216,100,667440,35,0.5,0.9381839225589216,100
drum3,quantized_exact,25,0.9401104847901814,0.5416666666666666,0.9419921436588101,100,667440,41,0.5416666666666666,0.9419921436588101,100
drum3,quantized_exact,30,0.9448165529147279,0.6428571428571429,0.9472736625514409,100,667440,41,0.6428571428571429,0.9472736625514409,100
drum3,quantized_exact,35,0.9494933848643723,0.6666666666666666,0.9509160602910605,100,667440,47,0.6666666666666666,0.9509160602910605,100
drum3,quantized_exact,40,0.9538522618946468,0.7073170731707317,0.9555659722222222,100,667440,37,0.7073170731707317,0.9555659722222222,100
drum3,quantized_exact,45,0.9579875948221297,0.6923076923076923,0.9600529100529099,100,667440,40,0.6923076923076923,0.9600529100529099,100
drum3,quantized_exact,50,0.9616535409987361,0.6976744186046512,0.9636492961964657,100,667440,53,0.6976744186046512,0.9636492961964657,100
drum4,float,5,0.9536123680216287,0.4,0.9569444444444442,100,667440,0,0.4,0.9569444444444442,100
drum4,float,10,0.9608636413365242,0.5555555555555556,0.9628733572281961,100,667440,3,0.5555555555555556,0.9628733572281961,100
drum4,float,15,0.9629601408414491,0.5384615384615384,0.9649846681096685,100,667440,2,0.5384615384615384,0.9649846681096685,100
drum4,float,20,0.9652140670668543,0.6842105263157895,0.9670427132112948,100,667440,12,0.6842105263157895,0.9670427132112948,100
drum4,float,25,0.9676446054757557,0.7391304347826086,0.9687957987298493,100,667440,17,0.7391304347826086,0.9687957987298493,100
drum4,float,30,0.970286280477457,0.7777777777777778,0.9718318606054159,100,667440,10,0.7777777777777778,0.9718318606054159,100
drum4,float,35,0.9728365339334453,0.7419354838709677,0.9738238238238236,100,667440,8,0.7419354838709677,0.9738238238238236,100
drum4,float,40,0.9752117024325699,0.7894736842105263,0.976302083333333,100,667440,11,0.7894736842105263,0.976302083333333,100
drum4,float,45,0.9774898740725039,0.825,0.9786541005291008,100,667440,16,0.825,0.9786541005291008,100
