design    drum6_signed
top       drum_wrapper_test
generics  K=6
part      xc7z020clg400-1
period_ns 10.0
stage     impl
synth_luts   332
synth_ffs    64
synth_dsps   0
synth_wns_ns -7.829
synth_fmax_mhz 56.09
synth_logic_levels 25
synth_worst_from a_reg_reg[0]/C
synth_worst_to   p_reg[28]/D
impl_luts    365
impl_ffs     64
impl_dsps    0
impl_wns_ns  -6.078
impl_whs_ns  0.619
impl_fmax_mhz 62.20
impl_logic_levels 25
impl_worst_from b_reg_reg[0]/C
impl_worst_to   p_reg[26]/D
