design    drum_opt6
top       drum_opt_wrapper
generics  K=6
part      xc7z020clg400-1
period_ns 10.0
stage     impl
synth_luts   308
synth_ffs    64
synth_dsps   0
synth_wns_ns -5.298
synth_fmax_mhz 65.37
synth_logic_levels 23
synth_worst_from a_reg_reg[0]/C
synth_worst_to   p_reg[20]/D
impl_luts    327
impl_ffs     64
impl_dsps    0
impl_wns_ns  -3.864
impl_whs_ns  1.154
impl_fmax_mhz 72.13
impl_logic_levels 20
impl_worst_from a_reg_reg[0]/C
impl_worst_to   p_reg[28]/D
