design,w,n_total,n_red,mred,max_red,bias,nmed,max_aed,error_rate
dlzs_floor,8,65536,65025,0.2985475212336951,0.4980392156862745,-0.2985475212336951,0.08268229166666667,32385,0.9610748291015625
dlzs_ceil,8,65536,65025,0.3715324085130266,0.9844961240310077,0.3715324085130266,0.08268229166666667,32385,0.9610748291015625
dlzs_nearest_linear,8,65536,65025,0.16918090599359067,0.3333333333333333,-0.009643582522887094,0.04182751225490196,16320,0.9610748291015625
dlzs_nearest_log,8,65536,65025,0.1736363291528282,0.4065934065934066,0.038900382059604034,0.04296109068627451,18870,0.9610748291015625
mitchell,8,65536,65025,0.03787828380037507,0.1111111111111111,-0.03787828380037507,0.009325615495317305,4096,0.9309234619140625
drum4,8,65536,65025,0.058867890691103014,0.265625,0.01595855985902745,0.014238497137519223,7425,0.9771728515625
drum6,8,65536,65025,0.013013432255458373,0.0634765625,0.005706850533507458,0.0035806306093209344,2000,0.85430908203125
