design,w,n_total,n_red,mred,max_red,bias,nmed,max_aed,error_rate
dlzs_floor,16,1003600,1003452,0.30646079976221796,0.49999237048905165,-0.30646079976221796,0.08291286197252402,2147385345,0.9986747708250299
dlzs_ceil,16,1003600,1003452,0.3859004667030007,0.9999389667063383,0.3859004667030007,0.08291804937841411,2147385345,0.9986747708250299
dlzs_nearest_linear,16,1003600,1003452,0.16960010301653505,0.3333333333333333,-0.018961626863969388,0.04144075531857634,1073725440,0.9986747708250299
dlzs_nearest_log,16,1003600,1003452,0.17470416610128645,0.4142120368572107,0.03994359308692598,0.04267056174373097,1257244091,0.9986747708250299
mitchell,16,1003600,1003452,0.03838431046822699,0.1111111111111111,-0.03838431046822699,0.00921205394850211,268435456,0.9977281785571941
drum4,16,1003600,1003452,0.05912915472397078,0.265625,0.005567979352918921,0.0140325494529852,519962625,0.999730968513352
drum6,16,1003600,1003452,0.01472187158648616,0.0634765625,0.0005136887815692626,0.0035083171452004822,133038081,0.999471901155839
